#   N_BLOCK:  ACCEPTANCE:
          75    0.508197
          76    0.508145
          77    0.508094
          78    0.508045
          79    0.507994
          80    0.507939
          81    0.507883
          82    0.507831
          83    0.507776
          84    0.507722
          85    0.507673
          86    0.507623
          87    0.507578
          88    0.507531
          89    0.507483
          90    0.507431
          91    0.507381
          92    0.507333
          93    0.507292
          94    0.507243
          95    0.507192
          96    0.507146
          97    0.507096
          98    0.507052
          99    0.507007
         100    0.506961
           1    0.506818
           2    0.506747
           3    0.506684
           4    0.506613
           5    0.506552
           6     0.50649
           7    0.506423
           8    0.506365
           9    0.506298
          10     0.50623
          11    0.506166
          12    0.506099
          13    0.506031
          14    0.505969
          15    0.505908
          16    0.505848
          17    0.505782
          18    0.505723
          19    0.505662
          20    0.505597
          21    0.505536
          22    0.505471
          23    0.505417
          24    0.505363
          25    0.505304
          26    0.505243
          27    0.505184
          28     0.50512
          29     0.50506
          30    0.504996
          31    0.504934
          32    0.504872
          33    0.504812
          34    0.504753
          35    0.504697
          36    0.504637
          37     0.50458
          38    0.504525
          39    0.504468
          40    0.504409
          41    0.504343
          42    0.504288
          43    0.504226
          44    0.504175
          45    0.504119
          46    0.504056
          47    0.504001
          48    0.503942
          49    0.503888
          50    0.503826
          51    0.503774
          52    0.503719
          53    0.503663
          54    0.503608
          55    0.503554
          56      0.5035
          57    0.503444
          58    0.503391
          59    0.503336
          60    0.503279
          61    0.503224
          62     0.50317
          63    0.503119
          64    0.503065
          65    0.503015
          66    0.502964
          67    0.502908
          68    0.502849
          69    0.502792
          70    0.502743
          71     0.50269
          72     0.50264
          73    0.502583
          74    0.502529
          75    0.502479
          76    0.502422
          77     0.50237
          78    0.502317
          79    0.502268
          80    0.502218
          81     0.50217
          82    0.502121
          83    0.502065
          84    0.502014
          85    0.501964
          86    0.501914
          87    0.501865
          88    0.501814
          89    0.501766
          90    0.501716
          91     0.50167
          92    0.501619
          93    0.501567
          94     0.50152
          95     0.50147
          96    0.501427
          97    0.501381
          98    0.501324
          99     0.50128
         100    0.501227
           1    0.501094
           2    0.501026
           3     0.50096
           4    0.500892
           5    0.500828
           6    0.500759
           7    0.500687
           8    0.500623
           9    0.500559
          10     0.50049
          11    0.500429
          12    0.500367
          13    0.500299
          14    0.500239
          15    0.500171
          16    0.500107
          17    0.500038
          18    0.499974
          19    0.499908
          20    0.499844
          21    0.499782
          22    0.499714
          23     0.49965
          24    0.499587
          25    0.499531
          26    0.499464
          27      0.4994
          28    0.499338
          29    0.499279
          30    0.499219
          31    0.499153
          32    0.499096
          33    0.499041
          34    0.498977
          35    0.498921
          36    0.498861
          37    0.498802
          38    0.498739
          39    0.498679
          40    0.498616
          41    0.498557
          42    0.498495
          43    0.498437
          44    0.498376
          45    0.498319
          46    0.498257
          47    0.498202
          48    0.498142
          49    0.498082
          50    0.498024
          51     0.49796
          52    0.497902
          53    0.497839
          54    0.497775
          55    0.497722
          56    0.497664
          57    0.497605
          58    0.497549
          59    0.497492
          60    0.497426
          61    0.497374
          62    0.497316
          63    0.497259
          64    0.497203
          65    0.497145
          66    0.497085
          67    0.497026
          68    0.496967
          69    0.496908
          70    0.496853
          71    0.496802
          72    0.496745
          73    0.496692
          74    0.496637
          75    0.496584
          76     0.49653
          77    0.496476
          78    0.496425
          79    0.496366
          80     0.49631
          81    0.496256
          82      0.4962
          83    0.496146
          84    0.496092
          85     0.49604
          86    0.495985
          87     0.49593
          88    0.495878
          89    0.495828
          90    0.495776
          91    0.495722
          92    0.495663
          93    0.495615
          94    0.495566
          95    0.495518
          96    0.495466
          97    0.495419
          98    0.495372
          99    0.495321
         100    0.495269
           1    0.495137
           2    0.495071
           3    0.495007
           4    0.494935
           5    0.494866
           6    0.494798
           7     0.49473
           8    0.494662
           9    0.494596
          10    0.494531
          11    0.494466
          12      0.4944
          13    0.494335
          14    0.494268
          15    0.494206
          16    0.494138
          17    0.494068
          18    0.494007
          19     0.49394
          20    0.493878
          21    0.493809
          22    0.493747
          23    0.493683
          24    0.493618
          25    0.493554
          26    0.493486
          27    0.493423
          28    0.493359
          29    0.493295
          30    0.493228
          31    0.493167
          32    0.493104
          33    0.493041
          34    0.492977
          35    0.492914
          36    0.492854
          37    0.492793
          38    0.492733
          39    0.492672
          40    0.492612
          41    0.492548
          42    0.492486
          43    0.492427
          44    0.492368
          45    0.492305
          46    0.492243
          47    0.492181
          48    0.492124
          49    0.492065
          50    0.492005
          51    0.491949
          52    0.491889
          53    0.491835
          54    0.491772
          55    0.491715
          56    0.491655
          57    0.491601
          58    0.491542
          59    0.491485
          60    0.491433
          61    0.491375
          62    0.491314
          63    0.491253
          64    0.491192
          65    0.491135
          66    0.491077
          67    0.491019
          68    0.490963
          69    0.490906
          70    0.490849
          71    0.490787
          72    0.490737
          73    0.490679
          74    0.490626
          75    0.490568
          76     0.49051
          77    0.490454
          78    0.490398
          79    0.490341
          80    0.490284
          81    0.490225
          82    0.490169
          83    0.490115
          84    0.490063
          85    0.490007
          86     0.48995
          87    0.489893
          88    0.489837
          89    0.489783
          90    0.489726
          91    0.489669
          92    0.489613
          93    0.489563
          94    0.489509
          95    0.489454
          96    0.489412
          97    0.489357
          98    0.489303
          99    0.489248
         100    0.489197
           1    0.489058
           2    0.488983
           3    0.488917
