#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            372        3.06294        2.90385     0.00992129
            373        3.06256        2.90428     0.00990381
            374        3.06186         2.9047     0.00988628
            375        3.06086        2.90512     0.00986869
            376        3.05958        2.90553     0.00985099
            377        3.05804        2.90593     0.00983316
            378        3.05625        2.90633     0.00981519
            379        3.05426        2.90672     0.00979705
            380        3.05206         2.9071     0.00977873
            381         3.0497        2.90748     0.00976022
            382         3.0472        2.90784     0.00974152
            383        3.04458         2.9082     0.00972263
            384        3.04187        2.90855     0.00970354
            385        3.03908        2.90889     0.00968426
            386        3.03624        2.90922     0.00966479
            387        3.03336        2.90954     0.00964514
            388        3.03047        2.90985     0.00962531
            389        3.02757        2.91015     0.00960532
            390        3.02467        2.91044     0.00958518
            391        3.02178        2.91073      0.0095649
            392        3.01891          2.911     0.00954448
            393        3.01605        2.91127     0.00952393
            394        3.01321        2.91153     0.00950327
            395        3.01037        2.91178     0.00948251
            396        3.00752        2.91202     0.00946164
            397        3.00467        2.91226     0.00944069
            398        3.00179        2.91248     0.00941965
            399        2.99887         2.9127     0.00939853
            400         2.9959        2.91291     0.00937733
            401        2.99286         2.9131     0.00935607
            402        2.98974         2.9133     0.00933474
            403        2.98653        2.91348     0.00931334
            404         2.9832        2.91365     0.00929189
            405        2.97975        2.91381     0.00927038
            406        2.97618        2.91397     0.00924882
            407        2.97247        2.91411     0.00922721
            408        2.96862        2.91424     0.00920556
            409        2.96464        2.91437     0.00918388
            410        2.96054        2.91448     0.00916217
            411        2.95632        2.91458     0.00914044
            412          2.952        2.91467     0.00911871
            413        2.94761        2.91475     0.00909698
            414        2.94317        2.91482     0.00907526
            415        2.93872        2.91488     0.00905358
            416        2.93429        2.91493     0.00903194
            417        2.92992        2.91496     0.00901035
            418        2.92567        2.91499     0.00898883
            419        2.92157          2.915     0.00896739
            420        2.91768        2.91501     0.00894604
            421        2.91406        2.91501     0.00892479
            422        2.91074          2.915     0.00890365
            423        2.90779        2.91498     0.00888262
            424        2.90523        2.91496      0.0088617
            425        2.90312        2.91493     0.00884089
            426        2.90149         2.9149     0.00882019
            427        2.90036        2.91486      0.0087996
            428        2.89974        2.91483     0.00877911
            429        2.89966        2.91479     0.00875872
            430        2.90009        2.91476     0.00873842
            431        2.90104        2.91473      0.0087182
            432        2.90248         2.9147     0.00869807
            433        2.90437        2.91467     0.00867801
            434        2.90669        2.91466     0.00865803
            435        2.90937        2.91464     0.00863814
            436        2.91238        2.91464     0.00861833
            437        2.91564        2.91464     0.00859861
            438        2.91909        2.91465     0.00857898
            439        2.92268        2.91467     0.00855946
            440        2.92633         2.9147     0.00854005
            441        2.92999        2.91473     0.00852075
            442        2.93359        2.91477     0.00850158
            443        2.93708        2.91482     0.00848254
            444        2.94039        2.91488     0.00846363
            445        2.94348        2.91495     0.00844485
            446        2.94631        2.91502     0.00842621
            447        2.94885        2.91509      0.0084077
            448        2.95105        2.91517     0.00838932
            449         2.9529        2.91526     0.00837105
            450        2.95439        2.91534      0.0083529
            451         2.9555        2.91543     0.00833486
            452        2.95623        2.91552     0.00831691
            453        2.95659        2.91561     0.00829904
