#   N_BLOCK:  ACCEPTANCE:
          90    0.507569
          91    0.507521
          92    0.507471
          93    0.507417
          94    0.507369
          95    0.507323
          96    0.507277
          97    0.507233
          98    0.507186
          99    0.507135
         100    0.507085
           1     0.50699
           2    0.506923
           3    0.506859
           4    0.506794
           5    0.506735
           6    0.506668
           7      0.5066
           8    0.506534
           9    0.506469
          10    0.506402
          11    0.506336
          12    0.506271
          13    0.506205
          14    0.506139
          15    0.506073
          16     0.50601
          17    0.505947
          18     0.50588
          19    0.505816
          20    0.505753
          21    0.505692
          22    0.505631
          23    0.505571
          24    0.505508
          25    0.505443
          26    0.505381
          27    0.505322
          28    0.505266
          29    0.505207
          30    0.505147
          31    0.505086
          32    0.505022
          33    0.504962
          34    0.504905
          35    0.504843
          36    0.504788
          37    0.504728
          38     0.50467
          39    0.504611
          40    0.504552
          41    0.504493
          42    0.504435
          43    0.504377
          44    0.504324
          45    0.504266
          46     0.50421
          47    0.504151
          48    0.504095
          49    0.504041
          50    0.503986
          51    0.503926
          52    0.503873
          53    0.503817
          54    0.503762
          55    0.503705
          56    0.503648
          57    0.503597
          58    0.503543
          59     0.50349
          60    0.503436
          61    0.503384
          62    0.503328
          63    0.503272
          64    0.503215
          65    0.503158
          66    0.503105
          67    0.503052
          68    0.502998
          69    0.502944
          70    0.502893
          71    0.502834
          72    0.502782
          73    0.502728
          74    0.502676
          75    0.502628
          76    0.502575
          77    0.502524
          78    0.502471
          79    0.502419
          80    0.502367
          81    0.502312
          82     0.50226
          83    0.502207
          84    0.502153
          85    0.502102
          86    0.502053
          87    0.502002
          88     0.50195
          89    0.501898
          90    0.501848
          91    0.501798
          92    0.501748
          93    0.501694
          94    0.501642
          95    0.501592
          96    0.501543
          97    0.501494
          98    0.501445
          99    0.501394
         100    0.501346
           1    0.501253
           2    0.501186
           3    0.501119
           4    0.501054
           5    0.500987
           6     0.50092
           7    0.500854
           8    0.500786
           9    0.500719
          10    0.500655
          11    0.500595
          12    0.500528
          13    0.500458
          14    0.500392
          15    0.500326
          16    0.500265
          17    0.500201
          18    0.500137
          19    0.500074
          20    0.500006
          21    0.499946
          22    0.499883
          23    0.499819
          24    0.499757
          25    0.499693
          26    0.499629
          27    0.499567
          28    0.499503
          29    0.499441
          30    0.499379
          31    0.499318
          32    0.499259
          33    0.499199
          34    0.499139
          35    0.499077
          36    0.499015
          37    0.498957
          38    0.498893
          39    0.498829
          40    0.498768
          41    0.498712
          42    0.498652
          43    0.498591
          44    0.498533
          45    0.498473
          46    0.498414
          47    0.498352
          48    0.498294
          49    0.498237
          50    0.498179
          51    0.498118
          52     0.49806
          53    0.498001
          54    0.497946
          55    0.497888
          56     0.49783
          57    0.497771
          58    0.497711
          59    0.497655
          60    0.497595
          61     0.49754
          62    0.497483
          63    0.497423
          64    0.497366
          65    0.497306
          66    0.497246
          67    0.497188
          68    0.497132
          69    0.497074
          70     0.49702
          71    0.496965
          72    0.496911
          73    0.496855
          74    0.496801
          75    0.496747
          76     0.49669
          77    0.496636
          78    0.496584
          79    0.496531
          80    0.496475
          81    0.496418
          82    0.496365
          83    0.496312
          84    0.496257
          85    0.496203
          86    0.496152
          87    0.496095
          88    0.496042
          89    0.495987
          90    0.495936
          91    0.495883
          92    0.495833
          93    0.495779
          94    0.495727
          95    0.495675
          96    0.495621
          97    0.495567
          98    0.495516
          99    0.495462
         100    0.495411
           1    0.495317
           2    0.495248
           3    0.495178
           4     0.49511
           5    0.495039
           6    0.494971
           7    0.494907
           8    0.494839
           9    0.494771
          10    0.494706
          11    0.494637
          12     0.49457
          13    0.494504
          14    0.494436
          15    0.494369
          16    0.494303
          17    0.494235
          18    0.494169
          19    0.494104
          20    0.494036
          21    0.493971
          22    0.493906
          23    0.493843
          24     0.49378
          25    0.493716
          26    0.493654
          27    0.493589
          28    0.493525
          29    0.493462
          30      0.4934
          31    0.493336
          32    0.493274
          33     0.49321
          34    0.493145
          35    0.493079
          36    0.493012
          37    0.492949
          38    0.492885
          39    0.492822
          40    0.492758
          41    0.492697
          42    0.492638
          43    0.492573
          44     0.49251
          45     0.49245
          46    0.492395
          47    0.492331
          48    0.492271
          49     0.49221
          50    0.492146
          51    0.492083
          52    0.492019
          53    0.491958
          54    0.491899
          55    0.491839
          56    0.491778
          57    0.491717
          58    0.491658
          59    0.491598
          60    0.491539
          61    0.491482
          62    0.491422
          63    0.491365
          64    0.491304
          65    0.491248
          66    0.491189
          67     0.49113
