#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         438     8.26954      7.2062    0.036836
         439     8.09696     7.20823    0.036808
         440     8.10248     7.21027   0.0367804
         441     7.90422     7.21184   0.0367306
         442     7.81111     7.21319   0.0366725
         443     8.03282     7.21505   0.0366364
         444     7.53589     7.21577    0.036561
         445     7.61917     7.21667   0.0364901
         446     8.00325     7.21844   0.0364509
         447     7.81055     7.21976   0.0363934
         448     7.58247     7.22057   0.0363211
         449     7.45668      7.2211   0.0362441
         450     7.15785     7.22096   0.0361638
         451     6.78551     7.21999   0.0360965
         452     6.83548     7.21914   0.0360267
         453     7.13127     7.21895   0.0359476
         454     7.17056     7.21884   0.0358686
         455     6.83125     7.21799   0.0357999
         456     6.76898       7.217   0.0357349
         457     6.90607     7.21632   0.0356632
         458     6.94641     7.21573   0.0355902
         459      6.8578     7.21495   0.0355212
         460      7.1278     7.21477   0.0354445
         461     6.99286     7.21428   0.0353709
         462     6.79097     7.21337   0.0353062
         463      7.1669     7.21327   0.0352301
         464     7.26336     7.21338   0.0351543
         465     7.69364     7.21441   0.0350939
         466     7.44636     7.21491   0.0350221
         467     8.00233     7.21659   0.0349877
         468     7.92198      7.2181   0.0349454
         469     7.65215     7.21902   0.0348831
         470     7.21151     7.21901   0.0348089
         471     6.98843     7.21852   0.0347384
         472       7.168     7.21841    0.034665
         473     7.09342     7.21815   0.0345927
         474     7.07785     7.21785    0.034521
         475     6.60725     7.21657   0.0344723
         476      7.4466     7.21705   0.0344032
         477     7.82433     7.21832   0.0343546
         478     7.75339     7.21944    0.034301
         479     7.60734     7.22025    0.034239
         480     7.60708     7.22106   0.0341771
         481     7.68928     7.22203   0.0341199
         482     7.72137     7.22307   0.0340648
         483     7.37135     7.22337   0.0339957
         484     7.09632     7.22311   0.0339265
         485     7.22959     7.22312   0.0338565
         486     7.04282     7.22275   0.0337889
         487      6.8175     7.22192   0.0337298
         488     6.58547     7.22062   0.0336859
         489     6.64654     7.21944   0.0336374
         490     6.72868     7.21844   0.0335837
         491     6.53513     7.21705   0.0335441
         492     6.81305     7.21623    0.033486
         493     6.76103     7.21531   0.0334308
         494     6.97501     7.21482   0.0333666
         495     6.91385     7.21421   0.0333048
         496     7.13379     7.21405    0.033238
         497      7.4821     7.21459   0.0331755
         498     7.73053     7.21562   0.0331251
         499     7.95409      7.2171   0.0330917
         500      8.4507     7.21957   0.0331174
         501     8.43427       7.222   0.0331399
         502     8.71632     7.22497   0.0332073
         503     8.46735     7.22744    0.033233
         504     8.43338     7.22984   0.0332531
         505     8.00554     7.23137   0.0332227
         506     8.18629     7.23326   0.0332106
         507      7.7149     7.23421   0.0331587
         508     7.68774      7.2351   0.0331055
         509     7.39734     7.23542   0.0330419
         510     6.73388     7.23444   0.0329918
         511     6.95233     7.23388   0.0329318
         512     6.80506     7.23305   0.0328782
         513     6.95261      7.2325   0.0328186
         514     7.49409     7.23301   0.0327587
         515     7.62014     7.23376   0.0327037
         516     7.25375      7.2338   0.0326404
         517     7.47666     7.23427   0.0325806
         518      6.9755     7.23377   0.0325216
         519     7.02659     7.23337   0.0324614
         520     7.33398     7.23356   0.0323995
         521     7.52899     7.23413   0.0323423
         522     7.57603     7.23479    0.032287
         523     7.31363     7.23494   0.0322256
         524     7.50691     7.23546   0.0321682
         525     7.56363     7.23608    0.032113
         526     7.11868     7.23586   0.0320528
         527     7.43839     7.23624   0.0319943
         528     7.41047     7.23657   0.0319354
         529     7.27384     7.23664   0.0318751
         530     7.42315     7.23699   0.0318169
         531     7.51789     7.23752   0.0317613
         532     7.32794     7.23769   0.0317021
         533     7.55001     7.23828    0.031648
         534     7.43718     7.23865    0.031591
         535     7.17385     7.23853   0.0315321
         536     7.35174     7.23874    0.031474
         537     7.26716      7.2388   0.0314155
         538     7.40055      7.2391   0.0313585
         539     6.75499      7.2382   0.0313132
         540     7.07718      7.2379   0.0312566
         541     7.50835      7.2384   0.0312028
         542     7.24414     7.23841   0.0311453
         543     7.27208     7.23847    0.031088
         544     7.26391     7.23852   0.0310309
         545     7.11059     7.23828   0.0309748
         546     7.06917     7.23797   0.0309196
         547     7.44221     7.23835   0.0308654
         548     7.50595     7.23884   0.0308129
         549     7.22954     7.23882   0.0307568
         550      6.8766     7.23816   0.0307079
         551     7.01499     7.23776   0.0306548
         552     7.32144     7.23791   0.0305997
         553     7.49734     7.23838    0.030548
         554     7.82557     7.23944   0.0305112
         555     7.66524      7.2402   0.0304659
         556     7.83191     7.24127   0.0304296
         557     8.05795     7.24273   0.0304103
         558     8.25451     7.24455   0.0304098
         559     8.17106      7.2462   0.0304006
         560     8.30177     7.24809   0.0304047
         561       8.175     7.24974   0.0303953
         562     8.15389     7.25135   0.0303838
         563     8.19711     7.25303   0.0303762
         564      7.8183     7.25403   0.0303389
         565     7.82547     7.25504    0.030302
         566     7.79717       7.256   0.0302636
         567     7.96845     7.25726   0.0302363
         568     7.88054     7.25836    0.030203
         569     7.88952     7.25946   0.0301703
         570     7.59087     7.26005    0.030123
         571     7.41162     7.26031   0.0300714
         572     6.90347     7.25969   0.0300253
         573     7.07703     7.25937   0.0299746
         574      6.9905      7.2589    0.029926
         575     7.20148      7.2588   0.0298741
         576     7.43496     7.25911   0.0298238
         577     7.48754      7.2595   0.0297748
         578     7.16334     7.25934   0.0297237
         579      7.4843     7.25972   0.0296749
         580     7.79212     7.26064    0.029638
         581     7.44033     7.26095   0.0295886
         582     7.01414     7.26053   0.0295408
         583      6.6681     7.25951   0.0295076
         584     6.66705      7.2585   0.0294745
         585     6.63469     7.25743   0.0294434
         586     6.82561     7.25669   0.0294023
         587     7.27143     7.25672   0.0293523
         588     7.56801     7.25725   0.0293071
         589     7.25382     7.25724   0.0292574
         590     7.36148     7.25742   0.0292083
         591     7.25161     7.25741   0.0291589
         592     7.11873     7.25718   0.0291106
         593     7.00836     7.25676   0.0290645
         594     6.82026     7.25602   0.0290249
         595     6.66322     7.25502   0.0289932
         596     6.84449     7.25434   0.0289527
         597     7.06294     7.25402    0.028906
         598     6.79241     7.25324    0.028868
         599     6.56776      7.2521   0.0288424
         600     6.89617     7.25151   0.0288005
         601     6.56454     7.25036   0.0287752
         602     6.63526     7.24934   0.0287456
         603     6.82974     7.24864   0.0287063
         604     7.45901     7.24899   0.0286609
         605     7.46146     7.24934   0.0286157
         606     7.19892     7.24926   0.0285686
         607     7.02664     7.24889   0.0285239
         608      7.0489     7.24857   0.0284788
         609      6.7792     7.24779   0.0284425
         610     6.97576     7.24735   0.0283994
         611       7.033       7.247   0.0283551
         612     6.79752     7.24626   0.0283182
         613     6.99767     7.24586   0.0282749
         614     7.05808     7.24555   0.0282306
         615     7.28206     7.24561   0.0281847
         616     7.08307     7.24535   0.0281402
         617     7.22542     7.24532   0.0280946
         618     7.17768     7.24521   0.0280494
         619     7.09942     7.24497    0.028005
         620     7.16663     7.24484   0.0279601
         621     6.77301     7.24408   0.0279254
         622     6.71274     7.24323   0.0278936
         623     6.79172     7.24251   0.0278582
         624     6.92634       7.242   0.0278182
         625     6.74001      7.2412   0.0277853
         626     6.90265     7.24065   0.0277462
         627     6.94847     7.24019   0.0277058
         628     7.27126     7.24024   0.0276618
         629     7.32139     7.24037   0.0276181
         630     6.90636     7.23984   0.0275793
         631       6.975     7.23942   0.0275388
         632     7.63055     7.24004   0.0275022
         633     7.43535     7.24034   0.0274605
         634      7.3298     7.24049   0.0274175
         635     7.59535     7.24104     0.02738
         636     7.40856     7.24131   0.0273383
         637     7.84165     7.24225   0.0273116
         638     7.70222     7.24297   0.0272783
         639     7.42222     7.24325    0.027237
         640     7.24495     7.24325   0.0271945
         641     7.18172     7.24316   0.0271522
         642     7.31978     7.24328   0.0271102
         643     7.58494     7.24381   0.0270732
         644     7.39284     7.24404   0.0270322
         645     7.46836     7.24439   0.0269925
         646     7.85706     7.24534   0.0269674
         647     7.86351     7.24629   0.0269426
         648     7.77878     7.24711   0.0269136
         649     7.62281     7.24769   0.0268783
         650     7.70011     7.24839    0.026846
         651     7.57834      7.2489   0.0268095
         652     7.95934     7.24999   0.0267906
         653     7.07611     7.24972   0.0267509
         654     7.53104     7.25015   0.0267134
         655     7.75246     7.25092   0.0266836
         656     7.57734     7.25141   0.0266476
         657     7.82895     7.25229   0.0266215
         658     7.89033     7.25326   0.0265987
         659     7.79461     7.25408    0.026571
         660     8.13337     7.25542   0.0265642
         661     8.41756     7.25717   0.0265821
         662     8.65159     7.25928   0.0266253
         663     8.71092     7.26147    0.026675
         664      8.2985     7.26303   0.0266805
         665     8.45234     7.26482   0.0267002
         666     8.04646     7.26599   0.0266859
         667     8.34113     7.26761   0.0266946
         668     7.96477     7.26865    0.026675
         669     8.21889     7.27007   0.0266729
         670     7.73444     7.27076   0.0266421
         671     7.59624     7.27125   0.0266068
         672     6.86293     7.27064   0.0265742
         673     7.10898      7.2704   0.0265358
         674     7.01452     7.27002   0.0264991
         675     7.31792     7.27009   0.0264599
         676      7.0139     7.26971   0.0264235
         677     7.06527     7.26941   0.0263862
         678     7.55537     7.26983   0.0263507
         679     7.44393     7.27009   0.0263131
         680     8.03529     7.27121   0.0262985
         681     7.68657     7.27182   0.0262669
         682     7.20423     7.27172   0.0262286
         683     7.61618     7.27223    0.026195
         684     7.23498     7.27217   0.0261568
         685     7.10477     7.27193   0.0261197
         686     7.35834     7.27206    0.026082
         687     8.02271     7.27315   0.0260669
         688     7.89918     7.27406   0.0260449
         689     7.49217     7.27438    0.026009
         690     7.63538      7.2749   0.0259766
         691      7.5266     7.27526   0.0259415
         692     7.68871     7.27586   0.0259109
         693     7.87995     7.27673   0.0258882
         694     7.98435     7.27775    0.025871
         695     7.91492     7.27867     0.02585
         696     7.73788     7.27933   0.0258212
         697      7.6796      7.2799   0.0257906
         698     7.54309     7.28028   0.0257564
         699     7.30095     7.28031   0.0257196
         700     7.05761     7.27999   0.0256848
         701     7.13938     7.27979   0.0256489
         702     7.84453      7.2806    0.025625
         703     8.21995     7.28193   0.0256234
         704     8.13132     7.28314   0.0256154
         705     7.95874      7.2841   0.0255969
         706     7.96655     7.28506   0.0255789
         707     7.12906     7.28484   0.0255437
         708     7.17614     7.28469   0.0255081
         709      7.4478     7.28492   0.0254732
         710     7.03322     7.28456   0.0254397
         711       6.561     7.28355   0.0254243
         712     6.47673     7.28241   0.0254138
         713     6.61372     7.28148   0.0253955
         714     6.30727     7.28011   0.0253966
         715     6.84578      7.2795   0.0253683
         716     6.77796      7.2788   0.0253425
         717     6.78052     7.27811   0.0253167
         718     7.43268     7.27832   0.0252824
         719     7.33935     7.27841   0.0252474
         720     7.10422     7.27817   0.0252134
         721     7.52125      7.2785   0.0251807
         722     7.54999     7.27888   0.0251487
         723     7.68932     7.27945   0.0251203
         724     7.34795     7.27954   0.0250858
         725     6.75358     7.27882   0.0250617
         726     6.46573      7.2777   0.0250521
         727      6.5864     7.27675   0.0250357
         728     6.54225     7.27574   0.0250217
         729     6.67096     7.27491   0.0250011
         730     6.48344     7.27382   0.0249903
         731     6.88679     7.27329   0.0249618
         732     7.27676      7.2733   0.0249277
         733     7.25245     7.27327   0.0248937
         734     7.55282     7.27365   0.0248627
         735     8.00252     7.27464   0.0248486
         736     7.71756     7.27524   0.0248221
         737     7.51373     7.27557   0.0247906
         738      7.4595     7.27582   0.0247582
         739     7.39994     7.27598   0.0247253
         740     7.32203     7.27605   0.0246919
         741     6.95027     7.27561   0.0246625
         742     7.20013     7.27551   0.0246295
         743     7.50206     7.27581   0.0245983
