# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
       0.956415       0.262693       0.198062      0.0289021
        1.01438       0.203908       0.192774      0.0163739
        1.07234       0.308937       0.282708      0.0232872
        1.13031       0.192487       0.270504      0.0289847
        1.18827       0.167487       0.242006      0.0262772
        1.24624        0.28266       0.271734       0.019702
         1.3042       0.320439       0.390085       0.062339
        1.36217       0.336413       0.311988       0.028395
        1.42013        0.43601       0.299688      0.0496063
         1.4781       0.481377       0.375405      0.0354038
        1.53606       0.328505        0.37459      0.0113361
        1.59402       0.465562       0.361236      0.0289592
        1.65199       0.563563       0.399334      0.0472421
        1.70995       0.322515       0.332675      0.0203337
        1.76792       0.397753        0.33777      0.0223082
        1.82588       0.500945       0.466473       0.031426
        1.88385       0.578578       0.461186      0.0448797
        1.94181       0.404861       0.531615      0.0673792
        1.99978       0.281861       0.505258      0.0680075
        2.05774       0.308618       0.419781      0.0453995
        2.11571        0.21525       0.465179      0.0849027
        2.17367        0.30742       0.434892      0.0414414
        2.23163       0.274593       0.363425      0.0344502
         2.2896       0.496792       0.486249      0.0378683
        2.34756       0.452224        0.43748      0.0262324
        2.40553       0.492958       0.394574      0.0345286
        2.46349       0.458694       0.377498      0.0257113
        2.52146       0.416922         0.3567      0.0340204
        2.57942       0.457336       0.402066      0.0476384
        2.63739        0.26421       0.310998      0.0218715
        2.69535       0.276909        0.30135      0.0309391
        2.75332       0.343681       0.335838      0.0410411
        2.81128       0.381619       0.339607      0.0324527
        2.86924       0.337371       0.325822      0.0158097
        2.92721       0.370357       0.277101      0.0344959
        2.98517       0.212454       0.235744      0.0283531
        3.04314       0.249035       0.241719       0.050885
         3.1011       0.294321       0.242709      0.0209137
        3.15907       0.284976       0.210905      0.0187322
        3.21703       0.262054       0.191768       0.029628
          3.275       0.173238       0.191257      0.0207639
        3.33296      0.0995181       0.219898      0.0271714
        3.39093       0.236096        0.21894      0.0289768
        3.44889       0.151913       0.172152      0.0352033
        3.50685       0.142887       0.184052      0.0418945
        3.56482       0.113176       0.180075      0.0357029
        3.62278       0.113495       0.146386      0.0118789
        3.68075         0.1353       0.140779      0.0416663
        3.73871       0.113256       0.128447      0.0265819
        3.79668       0.151354       0.125636      0.0292172
        3.85464       0.126434       0.116275      0.0159137
        3.91261      0.0799499      0.0807167     0.00550098
        3.97057      0.0402545      0.0838156      0.0285376
        4.02854      0.0511168      0.0913873       0.024834
         4.0865       0.107265      0.0658449      0.0152968
        4.14446      0.0773941      0.0629056       0.017301
        4.20243      0.0288331       0.040558      0.0101543
        4.26039      0.0884161       0.050398      0.0141319
        4.31836      0.0194084      0.0284178      0.0080491
        4.37632      0.0348233      0.0188014     0.00471391
        4.43429      0.0254785      0.0197279     0.00463422
        4.49225      0.0305104      0.0196959     0.00552292
        4.55022      0.0380181      0.0258459     0.00701739
        4.60818       0.109502      0.0372833      0.0162108
        4.66615      0.0363409      0.0346955      0.0103468
        4.72411       0.020287      0.0337211      0.0101233
        4.78207      0.0220441      0.0151593     0.00364707
        4.84004      0.0303506      0.0191528     0.00653805
          4.898       0.034424      0.0148718     0.00481639
        4.95597      0.0118208     0.00845025     0.00198044
        5.01393     0.00950453      0.0166289      0.0061205
         5.0719     0.00407337      0.0293762       0.013619
        5.12986      0.0023961     0.00977609     0.00440944
        5.18783     0.00215649     0.00432896     0.00204485
        5.24579     0.00271558     0.00250792      0.0010852
        5.30376              0     0.00124597    0.000657307
        5.36172              0    0.000750778    0.000354752
        5.41968              0    0.000415324    0.000319001
        5.47765              0     4.7922e-05    2.85752e-05
        5.53561              0     4.7922e-05    2.85752e-05
        5.59358              0      7.987e-05    4.51813e-05
        5.65154              0     6.3896e-05    4.16551e-05
        5.70951              0     4.7922e-05    2.85752e-05
        5.76747              0     4.7922e-05    2.85752e-05
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911     0.00702856     0.00179708      0.0010996
       0.202876      0.0191688      0.0100902     0.00274419
        0.26084      0.0145363     0.00998375     0.00342811
       0.318805       0.022124      0.0163334     0.00246124
        0.37677      0.0353824      0.0273156     0.00497586
       0.434734      0.0378584       0.037286      0.0080958
       0.492699      0.0395357      0.0510636      0.0173253
       0.550663      0.0475227      0.0485477      0.0113508
       0.608628       0.132105      0.0664119      0.0137951
       0.666592       0.223956      0.0841031      0.0267936
       0.724557       0.155267      0.0820531      0.0172409
       0.782521       0.164612       0.100823      0.0122841
       0.840486       0.238172       0.172093      0.0316985
        0.89845       0.151993       0.190091      0.0226807
       0.956415       0.195202       0.197585       0.024089
        1.01438       0.205106        0.19483      0.0137733
        1.07234       0.234419        0.27466      0.0207502
        1.13031        0.33202       0.280756      0.0259038
        1.18827       0.321876       0.255318      0.0250435
        1.24624       0.392481       0.291858      0.0246386
         1.3042       0.275392        0.37097      0.0548017
        1.36217       0.276989       0.306155      0.0242542
        1.42013       0.406538       0.317497      0.0444202
         1.4781       0.233859       0.351814      0.0365269
        1.53606       0.358457       0.371901     0.00976049
        1.59402       0.345438       0.358603      0.0242521
        1.65199       0.476904       0.412262      0.0410993
        1.70995       0.414525       0.346316      0.0210287
        1.76792       0.520194       0.368174      0.0334054
        1.82588       0.455259       0.464604      0.0262439
        1.88385       0.296557       0.433748      0.0450124
        1.94181       0.343601       0.500279       0.063016
        1.99978       0.324991       0.475213      0.0629607
        2.05774       0.323633       0.403756      0.0405625
        2.11571       0.324352       0.441708      0.0739254
        2.17367       0.326908       0.416895      0.0382433
        2.23163       0.468038        0.38086      0.0328255
         2.2896       0.476984       0.484705      0.0315883
        2.34756       0.463566       0.441828      0.0222177
        2.40553        0.46732       0.406698       0.030829
        2.46349       0.571869       0.409893      0.0365188
        2.52146       0.374271       0.359628      0.0284761
        2.57942       0.321078       0.388568       0.041567
        2.63739       0.358377       0.318894      0.0195999
        2.69535       0.330502       0.306208      0.0261613
        2.75332       0.269721       0.324818      0.0356496
        2.81128       0.203109       0.316858      0.0340978
        2.86924       0.242885       0.311999      0.0182428
        2.92721       0.182902       0.261401      0.0321211
        2.98517       0.164852       0.223929       0.025973
        3.04314       0.113815       0.220401      0.0466562
         3.1011       0.143047       0.226099       0.023101
        3.15907       0.352866       0.234565      0.0266492
        3.21703       0.263571       0.203735      0.0269989
          3.275       0.139293       0.182596      0.0190239
        3.33296       0.144245       0.207289      0.0254004
        3.39093       0.269242       0.227323      0.0253311
        3.44889        0.19073       0.175248      0.0294719
        3.50685      0.0960836       0.169391      0.0373896
        3.56482       0.126514       0.171148      0.0308483
        3.62278       0.124118       0.142674      0.0104628
        3.68075       0.150715       0.142435      0.0347548
        3.73871       0.151034       0.132212      0.0224165
        3.79668       0.140491       0.128112      0.0244524
        3.85464       0.106147       0.114587      0.0133506
        3.91261       0.106626       0.085035     0.00604601
        3.97057       0.182343       0.100237      0.0281117
        4.02854      0.0709246      0.0879768      0.0209279
         4.0865       0.113256      0.0737467      0.0146467
        4.14446      0.0652538       0.063297      0.0144219
        4.20243      0.0543915      0.0428636     0.00871974
        4.26039       0.108783      0.0601288      0.0147511
        4.31836      0.0509571      0.0321743     0.00753336
        4.37632      0.0388967      0.0221506     0.00497784
        4.43429      0.0279545       0.021099     0.00405962
        4.49225      0.0555097      0.0256649     0.00713251
        4.55022      0.0468837      0.0293522      0.0066665
        4.60818      0.0235617      0.0349964      0.0136694
        4.66615       0.013498      0.0311626     0.00920574
        4.72411      0.0304305      0.0331727     0.00845094
        4.78207      0.0109422      0.0144565     0.00310622
        4.84004      0.0039935      0.0166263     0.00591645
          4.898     0.00247597      0.0128058     0.00443467
        4.95597     0.00087857      0.0071883     0.00201266
        5.01393     0.00119805      0.0140571     0.00561481
         5.0719     0.00127792      0.0246932      0.0121276
        5.12986      0.0242805      0.0121935     0.00428626
        5.18783     0.00814674     0.00496525     0.00180032
        5.24579     0.00575064     0.00304837     0.00103016
        5.30376     0.00575064     0.00199675    0.000877359
        5.36172      0.0117409     0.00258246     0.00169803
        5.41968      0.0127792     0.00247597      0.0018998
        5.47765      0.0031948    0.000572402    0.000479374
        5.53561     0.00391363    0.000692207    0.000588631
        5.59358     0.00039935    0.000133117     6.1484e-05
        5.65154      0.0197279     0.00334123     0.00299198
        5.70951      0.0558292     0.00934479     0.00848688
        5.76747     0.00407337     0.00071883    0.000612915
      0.0289823              0              0              0
      0.0869468              0              0              0
       0.144911              0     0.00154035    0.000972024
       0.202876     0.00822661     0.00982401     0.00236504
        0.26084      0.0157344      0.0108053     0.00303522
       0.318805      0.0363409      0.0191916      0.0033842
        0.37677       0.051596      0.0307842     0.00533883
       0.434734      0.0571869       0.040129     0.00742168
       0.492699       0.044887      0.0501812      0.0148727
       0.550663      0.0568675      0.0497362     0.00979128
       0.608628      0.0825856      0.0687225      0.0120163
       0.666592      0.0857804      0.0843428       0.022967
       0.724557      0.0858603       0.082597      0.0147865
       0.782521       0.097122       0.100294      0.0105406
       0.840486       0.177311       0.172839      0.0271789
        0.89845       0.118687        0.17989       0.021613
       0.956415       0.234818       0.202904      0.0212268
        1.01438       0.160938       0.189988       0.012628
        1.07234       0.150555        0.25693      0.0242025
        1.13031       0.222039       0.272368      0.0235223
        1.18827       0.188813       0.245817      0.0231981
        1.24624        0.52834       0.325642      0.0377394
         1.3042       0.420516       0.378048      0.0474277
        1.36217       0.312931       0.307123      0.0208086
        1.42013       0.320838       0.317974      0.0380771
         1.4781       0.323234       0.347731      0.0315361
        1.53606       0.483773       0.387883      0.0169976
        1.59402       0.513564        0.38074       0.029192
        1.65199       0.527302       0.428697      0.0383733
        1.70995       0.505018       0.368988       0.027667
        1.76792        0.42411       0.376165      0.0295735
        1.82588       0.397992       0.455088      0.0241584
        1.88385       0.446394       0.435554      0.0386183
        1.94181       0.446953       0.492661      0.0544723
        1.99978       0.582812       0.490585      0.0558111
