# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
        1.44736       0.582451       0.589293     0.00364448
        1.48931       0.575167       0.564537      0.0117792
        1.53126       0.549565         0.5574     0.00357059
        1.57321        0.54162       0.553869      0.0190574
        1.61517       0.528929       0.544195     0.00700542
        1.65712       0.518666       0.528708     0.00793069
        1.69907       0.510058       0.528046      0.0106586
        1.74102       0.514141       0.551221      0.0151603
        1.78298       0.482249       0.521646      0.0186766
        1.82493       0.494719       0.510205     0.00872201
        1.86688       0.469117       0.496779      0.0113276
        1.90883       0.474966       0.467351      0.0110334
        1.95078        0.48269       0.462753       0.011679
        1.99274       0.430603       0.447267      0.0152098
        2.03469        0.46084       0.437335      0.0139073
        2.07664       0.401359       0.420119      0.0079644
        2.11859       0.401359       0.406914      0.0092558
        2.16055       0.377854       0.399189      0.0137694
         2.2025        0.34243       0.373844      0.0145475
        2.24445       0.292329       0.331211      0.0158759
         2.2864       0.312745       0.333381       0.010258
        2.32836       0.299171       0.312156      0.0070899
        2.37031       0.288687       0.287768     0.00918948
        2.41226       0.274231       0.272244     0.00629504
        2.45421       0.257016       0.257494    0.000678943
        2.49617       0.232296        0.23774     0.00374748
        2.53812       0.217398       0.224866     0.00430754
        2.58007       0.214308       0.215081     0.00705598
        2.62202       0.202832       0.207687      0.0104382
        2.66397       0.184954       0.190288     0.00693164
        2.70593       0.168953       0.169321     0.00250155
        2.74788       0.179436       0.163692     0.00874541
        2.78983       0.177119       0.156667     0.00959828
        2.83178       0.136288       0.137538     0.00125321
        2.87374       0.123156       0.128195     0.00231735
        2.91569       0.121611       0.117528     0.00230133
        2.95764       0.111568       0.108368     0.00205535
        2.99959       0.108699       0.108037     0.00500138
        3.04155       0.103623       0.111201      0.0032808
         3.0835      0.0883939      0.0948681     0.00677906
        3.12545      0.0858558      0.0851936     0.00624844
         3.1674      0.0774688      0.0804484     0.00406202
        3.20936       0.057274      0.0626078     0.00353377
        3.25131      0.0562808      0.0640424     0.00328286
        3.29326      0.0507631      0.0554715      0.0022921
        3.33521      0.0459075      0.0463489     0.00115858
        3.37716      0.0431486      0.0398012     0.00142118
        3.41912      0.0379619      0.0393598     0.00127886
        3.46107      0.0337685      0.0342835    0.000261836
        3.50302      0.0396173      0.0339524     0.00239544
        3.54497      0.0372998      0.0375941    0.000584713
        3.58693      0.0371895      0.0282507     0.00365375
        3.62888      0.0323339      0.0250505     0.00301007
        3.67083       0.031451      0.0219238     0.00389375
        3.71278      0.0273679      0.0197902     0.00316663
        3.75474      0.0236159       0.021703     0.00110395
