#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
            377         1.3394         1.1973      0.0164876
            378        1.34123        1.19768      0.0164484
            379        1.34272        1.19806      0.0164094
            380        1.34385        1.19845      0.0163707
            381        1.34463        1.19883      0.0163322
            382        1.34505        1.19921       0.016294
            383         1.3451        1.19959      0.0162559
            384        1.34478        1.19997       0.016218
            385        1.34408        1.20035      0.0161801
            386        1.34301        1.20072      0.0161424
            387        1.34158        1.20108      0.0161048
            388        1.33978        1.20144      0.0160673
            389        1.33762        1.20179      0.0160298
            390        1.33512        1.20213      0.0159924
            391        1.33226        1.20246      0.0159549
            392        1.32908        1.20278      0.0159175
            393        1.32558         1.2031        0.01588
            394        1.32178         1.2034      0.0158426
            395        1.31769        1.20369      0.0158051
            396        1.31331        1.20396      0.0157676
            397        1.30868        1.20423      0.0157301
            398        1.30381        1.20448      0.0156926
            399        1.29872        1.20471       0.015655
            400        1.29343        1.20494      0.0156175
            401        1.28796        1.20514      0.0155799
            402        1.28235        1.20534      0.0155423
            403        1.27662        1.20551      0.0155048
            404         1.2708        1.20567      0.0154672
            405        1.26493        1.20582      0.0154297
            406        1.25903        1.20595      0.0153923
            407        1.25314        1.20607      0.0153549
            408        1.24728        1.20617      0.0153176
            409         1.2415        1.20626      0.0152804
            410        1.23583        1.20633      0.0152433
            411         1.2303        1.20639      0.0152063
            412        1.22497        1.20643      0.0151695
            413        1.21984        1.20646      0.0151328
            414        1.21498        1.20648      0.0150962
            415        1.21041        1.20649      0.0150599
            416        1.20617        1.20649      0.0150237
            417        1.20228        1.20648      0.0149876
            418        1.19878        1.20646      0.0149518
            419        1.19569        1.20644      0.0149161
            420        1.19303        1.20641      0.0148807
            421        1.19081        1.20637      0.0148454
            422        1.18906        1.20633      0.0148102
            423        1.18777        1.20628      0.0147753
            424        1.18696        1.20624      0.0147405
            425         1.1866        1.20619      0.0147059
            426        1.18669        1.20615      0.0146715
            427        1.18722         1.2061      0.0146372
            428        1.18818        1.20606       0.014603
            429        1.18952        1.20602       0.014569
            430        1.19123        1.20599      0.0145352
            431        1.19328        1.20596      0.0145015
            432        1.19564        1.20593      0.0144679
            433        1.19827        1.20592      0.0144345
            434        1.20113        1.20591      0.0144013
            435        1.20419         1.2059      0.0143682
            436        1.20741        1.20591      0.0143352
            437        1.21078        1.20592      0.0143024
            438        1.21424        1.20594      0.0142698
            439        1.21776        1.20596      0.0142373
            440        1.22132          1.206       0.014205
            441        1.22488        1.20604      0.0141729
            442        1.22841        1.20609      0.0141409
            443         1.2319        1.20615      0.0141091
            444        1.23531        1.20621      0.0140775
            445        1.23863        1.20629       0.014046
            446        1.24183        1.20637      0.0140147
            447         1.2449        1.20645      0.0139836
            448        1.24781        1.20655      0.0139527
            449        1.25054        1.20664       0.013922
            450        1.25307        1.20675      0.0138915
            451        1.25539        1.20685      0.0138611
            452        1.25747        1.20697      0.0138309
            453         1.2593        1.20708      0.0138008
            454        1.26087         1.2072      0.0137709
            455        1.26214        1.20732      0.0137412
            456         1.2631        1.20744      0.0137116
            457        1.26375        1.20757      0.0136821
            458        1.26407        1.20769      0.0136528
            459        1.26403        1.20781      0.0136236
            460        1.26364        1.20793      0.0135946
            461        1.26288        1.20805      0.0135656
            462        1.26175        1.20817      0.0135367
            463        1.26024        1.20828       0.013508
            464        1.25834        1.20839      0.0134793
            465        1.25606        1.20849      0.0134507
            466        1.25341        1.20859      0.0134222
            467        1.25037        1.20868      0.0133937
            468        1.24697        1.20876      0.0133653
            469        1.24321        1.20883       0.013337
            470         1.2391         1.2089      0.0133088
            471        1.23467        1.20895      0.0132807
            472        1.22992          1.209      0.0132526
            473        1.22489        1.20903      0.0132246
            474         1.2196        1.20905      0.0131968
            475        1.21406        1.20906       0.013169
            476        1.20832        1.20906      0.0131413
            477        1.20239        1.20905      0.0131138
            478        1.19632        1.20902      0.0130864
            479        1.19012        1.20898      0.0130591
            480        1.18383        1.20893       0.013032
            481        1.17749        1.20886      0.0130051
            482        1.17112        1.20879      0.0129783
            483        1.16476        1.20869      0.0129518
            484        1.15844        1.20859      0.0129254
            485        1.15219        1.20847      0.0128993
            486        1.14604        1.20835      0.0128734
            487        1.14002        1.20821      0.0128477
            488        1.13416        1.20805      0.0128223
            489        1.12847        1.20789      0.0127971
            490        1.12298        1.20772      0.0127722
            491         1.1177        1.20753      0.0127475
            492        1.11266        1.20734       0.012723
            493        1.10787        1.20714      0.0126988
            494        1.10334        1.20693      0.0126749
            495        1.09907        1.20671      0.0126511
            496        1.09508        1.20649      0.0126276
            497        1.09137        1.20626      0.0126043
            498        1.08795        1.20602      0.0125813
            499        1.08482        1.20577      0.0125584
            500        1.08197        1.20553      0.0125357
            501        1.07941        1.20528      0.0125132
            502        1.07713        1.20502      0.0124909
            503        1.07512        1.20476      0.0124687
            504        1.07339         1.2045      0.0124467
            505        1.07193        1.20424      0.0124248
            506        1.07072        1.20398      0.0124031
            507        1.06977        1.20371      0.0123814
            508        1.06907        1.20345      0.0123599
            509        1.06861        1.20318      0.0123385
            510        1.06839        1.20292      0.0123171
            511         1.0684        1.20265      0.0122958
            512        1.06864        1.20239      0.0122746
            513         1.0691        1.20213      0.0122534
            514        1.06978        1.20187      0.0122323
            515        1.07068        1.20162      0.0122112
            516        1.07178        1.20137      0.0121901
            517         1.0731        1.20112       0.012169
            518         1.0746        1.20088       0.012148
            519        1.07631        1.20064       0.012127
            520        1.07819         1.2004      0.0121059
            521        1.08026        1.20017      0.0120849
            522         1.0825        1.19994      0.0120638
            523         1.0849        1.19972      0.0120428
            524        1.08746        1.19951      0.0120217
            525        1.09016         1.1993      0.0120006
            526          1.093         1.1991      0.0119795
            527        1.09597         1.1989      0.0119584
            528        1.09905        1.19871      0.0119372
            529        1.10224        1.19853       0.011916
            530        1.10552        1.19836      0.0118948
            531        1.10888        1.19819      0.0118736
            532         1.1123        1.19803      0.0118524
            533        1.11578        1.19787      0.0118312
            534        1.11932        1.19772      0.0118099
            535         1.1229        1.19759      0.0117887
            536        1.12651        1.19745      0.0117675
            537        1.13015        1.19733      0.0117462
            538        1.13382        1.19721       0.011725
            539        1.13751         1.1971      0.0117037
            540         1.1412        1.19699      0.0116825
            541        1.14491         1.1969      0.0116613
            542        1.14862        1.19681      0.0116401
            543        1.15233        1.19673       0.011619
            544        1.15604        1.19665      0.0115979
            545        1.15975        1.19659      0.0115768
            546        1.16347        1.19652      0.0115558
            547        1.16719        1.19647      0.0115348
            548        1.17091        1.19642      0.0115138
            549        1.17465        1.19638      0.0114929
            550        1.17838        1.19635       0.011472
            551        1.18213        1.19633      0.0114513
            552        1.18589        1.19631      0.0114305
            553        1.18965        1.19629      0.0114099
            554        1.19341        1.19629      0.0113893
            555        1.19716        1.19629      0.0113687
            556         1.2009         1.1963      0.0113483
            557        1.20463        1.19631      0.0113279
            558        1.20834        1.19634      0.0113077
            559        1.21201        1.19636      0.0112875
            560        1.21564         1.1964      0.0112674
            561        1.21922        1.19644      0.0112473
            562        1.22273        1.19649      0.0112274
            563        1.22617        1.19654      0.0112076
            564        1.22951         1.1966      0.0111879
            565        1.23274        1.19666      0.0111683
            566        1.23586        1.19673      0.0111488
            567        1.23884         1.1968      0.0111293
            568        1.24168        1.19688        0.01111
            569        1.24437        1.19697      0.0110908
            570        1.24689        1.19705      0.0110717
            571        1.24924        1.19715      0.0110527
            572        1.25141        1.19724      0.0110338
            573        1.25338        1.19734       0.011015
            574        1.25514        1.19744      0.0109962
            575        1.25671        1.19754      0.0109776
            576        1.25806        1.19765       0.010959
            577         1.2592        1.19775      0.0109406
            578        1.26012        1.19786      0.0109222
            579        1.26082        1.19797      0.0109038
            580         1.2613        1.19808      0.0108856
            581        1.26155        1.19819      0.0108674
            582        1.26158         1.1983      0.0108493
            583        1.26139        1.19841      0.0108312
            584        1.26099        1.19851      0.0108132
            585        1.26037        1.19862      0.0107952
            586        1.25955        1.19872      0.0107773
            587        1.25853        1.19883      0.0107594
            588        1.25731        1.19892      0.0107416
            589         1.2559        1.19902      0.0107238
            590         1.2543        1.19912       0.010706
            591        1.25252        1.19921      0.0106883
            592        1.25057        1.19929      0.0106706
            593        1.24847        1.19938      0.0106529
            594        1.24621        1.19945      0.0106353
            595        1.24381        1.19953      0.0106176
            596        1.24129         1.1996      0.0106001
            597        1.23865        1.19966      0.0105825
            598        1.23591        1.19972       0.010565
            599        1.23307        1.19978      0.0105475
            600        1.23016        1.19983        0.01053
            601        1.22719        1.19988      0.0105126
            602        1.22418        1.19992      0.0104952
            603        1.22114        1.19995      0.0104779
            604         1.2181        1.19998      0.0104606
            605        1.21508        1.20001      0.0104433
            606        1.21208        1.20003      0.0104261
            607        1.20914        1.20004      0.0104089
            608        1.20627        1.20005      0.0103918
            609         1.2035        1.20006      0.0103748
            610        1.20083        1.20006      0.0103578
            611        1.19829        1.20006      0.0103408
            612         1.1959        1.20005      0.0103239
            613        1.19366        1.20004      0.0103071
            614        1.19161        1.20003      0.0102903
            615        1.18975        1.20001      0.0102736
            616        1.18809        1.19999      0.0102569
            617        1.18664        1.19997      0.0102403
            618         1.1854        1.19994      0.0102238
            619        1.18439        1.19992      0.0102073
            620        1.18361        1.19989      0.0101909
            621        1.18306        1.19987      0.0101745
            622        1.18275        1.19984      0.0101582
            623        1.18269        1.19981      0.0101419
            624        1.18288        1.19978      0.0101257
            625        1.18332        1.19976      0.0101095
            626        1.18404        1.19973      0.0100934
            627        1.18503        1.19971      0.0100773
            628        1.18631        1.19969      0.0100613
            629        1.18788        1.19967      0.0100453
            630        1.18976        1.19965      0.0100294
            631        1.19196        1.19964      0.0100135
            632        1.19448        1.19963     0.00999766
            633        1.19734        1.19963     0.00998186
            634        1.20053        1.19963     0.00996612
            635        1.20405        1.19964     0.00995043
            636        1.20791        1.19965     0.00993479
            637         1.2121        1.19967     0.00991921
            638        1.21659         1.1997      0.0099037
            639        1.22137        1.19973     0.00988826
            640        1.22641        1.19977      0.0098729
            641         1.2317        1.19982     0.00985762
            642         1.2372        1.19988     0.00984244
            643        1.24287        1.19995     0.00982736
            644        1.24868        1.20002     0.00981239
            645         1.2546        1.20011     0.00979754
            646        1.26059         1.2002     0.00978282
            647        1.26662         1.2003     0.00976824
            648        1.27265        1.20042     0.00975381
            649        1.27864        1.20054     0.00973952
            650        1.28456        1.20066      0.0097254
            651        1.29037         1.2008     0.00971143
            652        1.29606        1.20095     0.00969764
            653         1.3016         1.2011     0.00968401
            654        1.30695        1.20126     0.00967056
            655        1.31209        1.20143     0.00965727
            656          1.317        1.20161     0.00964416
            657        1.32166        1.20179     0.00963121
            658        1.32604        1.20198     0.00961842
            659        1.33014        1.20218     0.00960579
            660        1.33393        1.20238     0.00959331
            661         1.3374        1.20258     0.00958097
            662        1.34054        1.20279     0.00956877
            663        1.34333          1.203     0.00955668
            664        1.34576        1.20322     0.00954471
            665        1.34781        1.20343     0.00953283
            666        1.34947        1.20365     0.00952104
            667        1.35073        1.20387     0.00950932
            668        1.35156        1.20409     0.00949765
            669        1.35197        1.20431     0.00948603
            670        1.35195        1.20454     0.00947443
            671        1.35147        1.20475     0.00946284
            672        1.35055        1.20497     0.00945124
            673        1.34917        1.20519     0.00943963
            674        1.34733         1.2054     0.00942798
            675        1.34503         1.2056     0.00941628
            676        1.34228        1.20581     0.00940452
            677        1.33908          1.206     0.00939269
            678        1.33544        1.20619     0.00938078
            679        1.33137        1.20638     0.00936877
            680         1.3269        1.20655     0.00935667
            681        1.32203        1.20672     0.00934447
            682        1.31679        1.20689     0.00933216
            683        1.31121        1.20704     0.00931975
            684        1.30531        1.20718     0.00930723
            685        1.29914        1.20732     0.00929461
            686        1.29272        1.20744     0.00928189
            687         1.2861        1.20756     0.00926909
            688        1.27931        1.20766      0.0092562
            689        1.27239        1.20775     0.00924325
            690        1.26539        1.20784     0.00923023
            691        1.25833        1.20791     0.00921716
            692        1.25127        1.20797     0.00920405
            693        1.24424        1.20803     0.00919092
