#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
            302        7.88006        8.14902       0.115458
            303        7.88044        8.14813        0.11508
            304        7.88159        8.14725       0.114705
            305        7.88069        8.14638       0.114332
            306        7.88128        8.14551       0.113962
            307        7.88125        8.14465       0.113594
            308        7.88063         8.1438       0.113228
            309        7.88082        8.14294       0.112865
            310        7.88044         8.1421       0.112504
            311        7.87951        8.14125       0.112145
            312        7.87944        8.14041       0.111789
            313        7.87955        8.13958       0.111435
            314        7.88125        8.13876       0.111083
            315        7.88314        8.13795       0.110733
            316        7.88241        8.13714       0.110386
            317         7.8833        8.13634       0.110041
            318        7.88371        8.13554       0.109698
            319        7.88575        8.13476       0.109356
            320        7.89152          8.134       0.109017
            321        7.89678        8.13326        0.10868
            322        7.89941        8.13253       0.108345
            323        7.90077        8.13182       0.108012
            324        7.90721        8.13112       0.107681
            325        7.91089        8.13045       0.107352
            326        7.91392        8.12978       0.107024
            327        7.91482        8.12912       0.106699
            328        7.92057        8.12849       0.106376
            329        7.92478        8.12787       0.106054
            330        7.92525        8.12726       0.105735
            331        7.92686        8.12665       0.105417
            332        7.92954        8.12606       0.105101
            333        7.93038        8.12547       0.104787
            334        7.93141        8.12489       0.104475
            335        7.93184        8.12431       0.104165
            336        7.93017        8.12373       0.103856
            337        7.92915        8.12316        0.10355
            338        7.92585        8.12257       0.103245
            339        7.92091        8.12198       0.102942
            340        7.91709        8.12138       0.102641
            341        7.91078        8.12076       0.102342
            342        7.90617        8.12013       0.102045
            343        7.90038        8.11949       0.101749
            344        7.89123        8.11883       0.101456
            345        7.88151        8.11814       0.101164
            346        7.86981        8.11742       0.100874
            347        7.85682        8.11667       0.100586
            348        7.84323        8.11588         0.1003
            349        7.82765        8.11506       0.100016
            350         7.8087        8.11418      0.0997342
            351        7.78993        8.11326      0.0994544
            352        7.77281        8.11229      0.0991765
            353        7.75035        8.11127      0.0989009
            354        7.73109        8.11019      0.0986273
            355        7.70947        8.10906       0.098356
            356        7.68699        8.10788      0.0980868
            357        7.66377        8.10663        0.09782
            358        7.64133        8.10533      0.0975554
            359        7.61555        8.10397      0.0972932
            360        7.59222        8.10255      0.0970333
            361        7.56582        8.10106      0.0967759
            362        7.54002        8.09951       0.096521
            363        7.51569         8.0979      0.0962685
            364        7.49226        8.09624      0.0960184
            365        7.46706        8.09452      0.0957708
            366        7.44446        8.09274      0.0955256
            367        7.42038        8.09091      0.0952828
            368        7.39638        8.08902      0.0950426
            369        7.37469        8.08708      0.0948048
            370        7.35335         8.0851      0.0945693
            371        7.33318        8.08307      0.0943361
            372        7.31713        8.08102       0.094105
            373        7.29826        8.07892      0.0938761
            374        7.28372        8.07679      0.0936491
            375        7.26939        8.07464      0.0934241
            376        7.25955        8.07247      0.0932008
            377        7.24865        8.07028      0.0929792
            378         7.2417        8.06809      0.0927591
            379        7.23523         8.0659      0.0925404
            380        7.22925        8.06369       0.092323
            381        7.22664         8.0615      0.0921068
            382        7.22741        8.05931      0.0918916
